artist,nonmale,non-cis,race,ethnicity,primary status,REPS,gender,corpora,source,comments
Blonde Redhead,1,0,0,1,1,1,1,UG,https://en.wikipedia.org/wiki/Blonde_Redhead,"Italian. One iteration of the group had Japanese bassist Toko Yasuda, but not the most famous band-member composition. Rotating contingency of musicians in general."
Carly Simon,1,0,0,1,1,1,1,UG,https://en.wikipedia.org/wiki/Carly_Simon,"Jewish. disability: stammer. Clarified in an interview that she is not ""not gay."" Grandmother was of Pardo heritage."
Daron Malakian and Scars on Broadway,0,0,0,1,1,1,0,UG,https://en.wikipedia.org/wiki/Daron_Malakian,child of Armenian imigrants
Demi Lovato,1,1,0,1,1,1,1,UG,https://www.cbsnews.com/news/demi-lovato-non-binary-pronouns-podcast-announcement/,Lovato's father is Hispanic. Non-binary.
Elisa (Italy),1,0,0,1,1,1,1,UG,https://en.wikipedia.org/wiki/Elisa_(Italian_singer),
Evanescence,1,0,0,1,1,1,1,UG,,Amy Lee; Jen Majura of Thai descent.
Fito & Fitipaldis,0,0,0,1,1,1,0,UG,https://en.wikipedia.org/wiki/Fine_Young_Cannibals,Spanish
Hombres G,0,0,0,1,1,1,0,UG,https://en.wikipedia.org/wiki/Hombres_G,Spanish
Jarabe de Palo,0,0,0,1,1,1,0,UG,https://en.wikipedia.org/wiki/Jarabe_de_Palo,Spanish
Jenni Vartiainen,1,0,0,1,1,1,1,UG,https://en.wikipedia.org/wiki/Jenni_Vartiainen,Finnish
Jennifer Lopez,1,0,0,1,1,1,1,UG,https://www.nndb.com/people/033/000022964/,Hispanic
La Oreja de Van Gogh,1,0,0,1,1,1,1,UG,https://en.wikipedia.org/wiki/La_Oreja_de_Van_Gogh,*Spanish
Los Prisioneros,0,0,0,1,1,1,0,UG,,Chilean rock band
Luis Miguel,0,0,0,1,1,1,0,UG,,"Puerto Rican, Mexican"
Molotov,0,0,0,1,1,1,0,UG,,Mexican rap band
Nacha Pop,0,0,0,1,1,1,0,UG,,Spanish pop-rock group
Nelly Furtado,1,0,0,1,1,1,1,UG,,Furtado is Portuguese
Selena,1,0,0,1,1,1,1,UG,https://www.nndb.com/people/690/000026612/,Hispanic
Selena Gomez,1,0,0,1,1,1,1,UG,https://www.nndb.com/people/509/000163020/,Hispanic
t.A.T.u.,1,0,0,1,1,1,1,UG,https://en.wikipedia.org/wiki/T.A.T.u.,Russian
The xx,1,0,0,1,1,1,1,UG,,"Croft and Qureshi are female members, Qureshi is a former member"
Tito & Tarantula,1,0,0,1,1,1,1,UG,,"Tito Larriva is Mexican-American, Grace is African-American, Lolita Larriva (Tito's daughter, bassist)"
Barbara Streisand,1,0,0,1,1,0,1,MBB,https://en.wikipedia.org/wiki/Barbra_Streisand,Jewish
Bette Midler,1,0,0,1,1,0,1,MBB,https://en.wikipedia.org/wiki/Bette_Midler,Jewish
The Turtles,0,0,0,1,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Turtles,Kaylan and Volman are Jewish
Beautiful,0,0,1,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Beautiful_(band),"While Frank Ferrer is the most famous member of this band, he was the group's drummer so primary status is debatable"
Culture Club,0,0,1,1,0,0,0,MBB,https://en.wikipedia.org/wiki/Culture_Club,Boy George is gay. Moss was adopted by Jewish parents and raised Jewish.
Depeche Mode,0,0,1,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Depeche_Mode,
Little Joey & The Flips,0,0,1,0,0,0,0,MBB,https://mentalitch.com/one-hit-wonders-little-joey-and-the-flips/,
The Allman Brothers,0,0,1,0,0,0,0,MBB,"https://en.wikipedia.org/wiki/The_Allman_Brothers_Band, https://crazyonclassicrock.com/2015/06/21/black-classic-rock-musicians/",
The Power Station,0,0,1,0,0,0,0,MBB,https://duranduran.fandom.com/wiki/Power_Station,
Alabama,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Alabama_(band),
Alan O'Day,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Alan_O%27Day,
Andy Gibb,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Andy_Gibb,English
B.J. Thomas,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/B._J._Thomas,
Bad Company,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bad_Company,English
Baltimora,1,0,0,0,0,0,0,MBB,"https://en.wikipedia.org/wiki/Baltimora, https://en.wikipedia.org/wiki/Jimmy_McShane","Italian, Irish, and American. Jimmy McShane died from AIDS"
Bananarama,1,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bananarama,English/Irish
Bay City Rollers,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bay_City_Rollers,Scottish
Billy Swan,0,0,0,0,0,0,0,MBB,https://www.allmusic.com/artist/billy-swan-mn0000768584/biography,
Bing Crosby,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bing_Crosby,
Blue Cheer,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Blue_Cheer,
Bob Seger,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bob_Seger,
Bob Seger & The Silver Bullet Band,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bob_Seger#The_Silver_Bullet_Band,
Bobbi Martin,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Bobbi_Martin,
Bobbie Gentry,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Bobbie_Gentry,
Bobby Bare,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bobby_Bare,
Bobby Darin,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bobby_Darin,Italian New Yorker*
Brenda Lee,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Brenda_Lee,
Brownsville station,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Brownsville_Station_(band),
Bruce Channel,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Bruce_Channel,
Buck Owens,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Buck_Owens,
Candi Staton,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Candi_Staton,
Charlie Rich,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Charlie_Rich,
Corey Hart,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/881/000025806/,Canadian
Dave Dudley,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Dave_Dudley,
David Crosby and Graham Nash,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Crosby_%26_Nash,
Dion,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/710/000062524/,Italian New Yorker*
Dolly Parton,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/088/000023019/,"considered a ""gay icon"""
Donna Fargo,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Donna_Fargo,
Dottie West,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/098/000163606/,
Dr. Hook,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Dr._Hook_%26_the_Medicine_Show,
Dr. John,0,0,0,0,0,0,0,MBB,"https://en.wikipedia.org/wiki/Dr._John, https://www.complex.com/music/2013/04/the-25-funkiest-white-boys-in-music-history/dr-john",
Eddie Rabbitt,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/029/000108702/,
Edgar Winter,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/775/000024703/,
Electric Prunes,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Electric_Prunes,
Eric Carmen,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/467/000173945/,
Five Man Electrical Band,0,0,0,0,0,0,0,MBB,,
Flatt & Scruggs,0,0,0,0,0,0,0,MBB,https://countrymusichalloffame.org/artist/flatt-and-scruggs/,
Floyd Cramer,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/895/000050745/,
Foghat,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Foghat,English
Gene Pitney,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/583/000045448/,
Gino Vannelli,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Gino_Vannelli,Italian Canadian
Graham Nash,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/562/000022496/,
Greg Kihn,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/529/000356458/,
Greg Kihn Band,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/The_Greg_Kihn_Band,
Hank Snow,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/227/000205609/,
J. Frank Wilson & The Cavaliers,0,0,0,0,0,0,0,MBB,https://www.discogs.com/artist/852997-J-Frank-Wilson-And-The-Cavaliers,
Jackson Browne,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/075/000023006/,
Jan & Dean,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Jan_and_Dean,
Jefferson Starship,1,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Jefferson_Starship,
Jerry Jeff Walker,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/872/000062686/,
Jerry Reed,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/974/000023905/,
Jesus Jones,0,0,0,0,0,0,0,MBB,https://www.jesusjones.com/the-band/,
Jimmy Clanton,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Jimmy_Clanton,
Joan Baez,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/560/000022494/,bisexual
Johnny Horton,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Johnny_Horton,
Johnny Lee,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Johnny_Lee_(singer),
Johnny Tillotson,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Johnny_Tillotson,
Juice Newton,1,0,0,0,1,0,1,MBB,https://en.wikipedia.org/wiki/Juice_Newton,
Kris Kristofferson,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/908/000023839/,
Louis Prima & Keely Smith,1,0,0,0,1,0,1,MBB,"https://en.wikipedia.org/wiki/Louis_Prima, https://en.wikipedia.org/wiki/Keely_Smith",Prima was American Italian and Smith was of Cherokee descent
Marie Osmond,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/540/000025465/,
Marty Robbins,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/004/000109674/,
Mary MacGregor,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/889/000374764/,
Max Frost & The Troopers,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Max_Frost_and_the_Troopers,"Fictional ensemble for a film. The song ""Shape of Things to Come"" was written by Barry Mann and Cynthia Weil and performed in the film by Christopher Jones"
Meat Loaf,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Meat_Loaf,
Mel Torme,0,0,0,1,0,0,0,MBB,https://www.nndb.com/people/025/000091749/,Jewish
Melba Montgomery,1,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Melba_Montgomery,
Michael Johnson,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Michael_Johnson_(singer),
Naked Eyes,0,0,0,0,0,0,0,MBB,https://en.wikipedia.org/wiki/Naked_Eyes,English
Nancy Sinatra,1,0,0,0,1,0,1,MBB,https://www.nndb.com/people/051/000022982/,
Neil Sedaka,0,0,0,1,0,0,0,MBB,https://www.nndb.com/people/073/000024001/,Jewish
Nick Gilder,0,0,0,0,0,0,0,MBB,https://www.nndb.com/people/557/000395369/,
Nitty Gritty Dirt Band,0,0,0,0,0,0,0,MBB,https://www.kmuw.org/post/nitty-gritty-dirt-band-celebrates-new-members-new-notes,
